,date,game_key,소형준,이강준,데스파이네,조근종,류희운,안현준,조현우,강장산,김민수,이창재,정성곤,주권,김재윤,배제성,조한욱,한승지,박세진,장현우,이대은,조병욱,이정현,김민,쿠에바스,이정훈,손동현,이상동,이선우,김성훈,금민철,전유수,이보근,유원상,이상화,하준호
17,2020-05-26,20200526HTKT0,"[0, 0, 3.176470588235294, 1.3235294117647058, 4.0, 5.666666666666667]","[0, 1, 0, 0, 0, 0]","[0, 0, 2.6470588235294117, 1.0, 9.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 3.0, 1, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 16.615384615384617, 3.0, 5.0, 0.7222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.272727272727273, 1.0909090909090908, 9.0, 1.2222222222222223]","[0, 0, 15.0, 3.6666666666666665, 0.25, 0.75]","[1, 0, 0.8852459016393444, 1.2295081967213115, 2.75, 6.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.8, 1.75, 5.0]","[0, 0, 5.711538461538462, 1.0384615384615385, 5.333333333333333, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 1, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.05, 1.05, 0.6666666666666666, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 16.2, 3.5999999999999996, 0.3333333333333333, 0.5555555555555556]","[0, 0, 2.571428571428571, 1.1428571428571428, 1.5, 1.0]"
18,2020-05-27,20200527HTKT0,"[0, 0, 3.176470588235294, 1.3235294117647058, 4.0, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.25, 0.9583333333333334, 10.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 3.0, 1, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.615384615384617, 3.0, 5.0, 0.7222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.0909090909090908, 9.0, 1.2222222222222223]","[0, 1, 11.25, 3.25, 0.4, 0.8]","[0, 0, 0.8852459016393444, 1.2295081967213115, 2.75, 6.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.8, 1.75, 5.0]","[0, 0, 5.711538461538462, 1.0384615384615385, 5.333333333333333, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.05, 1.05, 0.6666666666666666, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.2, 3.5999999999999996, 0.3333333333333333, 0.5555555555555556]","[0, 0, 2.571428571428571, 1.1428571428571428, 1.5, 1.0]"
19,2020-05-28,20200528HTKT0,"[1, 0, 6.4799999999999995, 1.5599999999999998, 2.0, 5.555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.9583333333333334, 10.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 3.0, 1, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.615384615384617, 3.0, 5.0, 0.7222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.272727272727273, 1.1818181818181819, 9.0, 1.1]","[0, 1, 9.0, 2.8, 0.6, 0.8333333333333334]","[0, 0, 0.8852459016393444, 1.2295081967213115, 2.75, 6.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 1.8, 1.75, 5.0]","[0, 0, 5.711538461538462, 1.0384615384615385, 5.333333333333333, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.05, 1.05, 0.6666666666666666, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.2, 3.5999999999999996, 0.3333333333333333, 0.5555555555555556]","[0, 1, 4.5, 1.375, 0.8571428571428571, 1.0]"
20,2020-05-29,20200529KTWO0,"[0, 0, 6.4799999999999995, 1.5599999999999998, 2.0, 5.555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 0.9583333333333334, 10.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 3.0, 1, 0.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 16.875, 3.1875, 6.0, 0.7619047619047619]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.1818181818181819, 9.0, 1.1]","[0, 0, 9.0, 2.8, 0.6, 0.8333333333333334]","[0, 0, 0.8852459016393444, 1.2295081967213115, 2.75, 6.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.319148936170213, 1.723404255319149, 0.8181818181818182, 5.222222222222222]","[0, 0, 5.711538461538462, 1.0384615384615385, 5.333333333333333, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 2.4, 0.5, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.05, 1.05, 0.6666666666666666, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 0, 1.0]","[0, 0, 16.2, 3.5999999999999996, 0.3333333333333333, 0.5555555555555556]","[0, 0, 4.5, 1.375, 0.8571428571428571, 1.0]"
21,2020-05-30,20200530KTWO0,"[0, 0, 6.4799999999999995, 1.5599999999999998, 2.0, 5.555555555555556]","[0, 1, 0.0, 1.0, 0, 1.0]","[0, 0, 2.25, 0.9583333333333334, 10.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.5, 1.5, 3, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.875, 3.1875, 6.0, 0.7619047619047619]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.1818181818181819, 9.0, 1.1]","[0, 0, 9.0, 2.8, 0.6, 0.8333333333333334]","[0, 0, 0.8852459016393444, 1.2295081967213115, 2.75, 6.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.319148936170213, 1.723404255319149, 0.8181818181818182, 5.222222222222222]","[1, 0, 5.547945205479452, 1.1506849315068495, 3.5, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 2.4, 0.5, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.05, 1.05, 0.6666666666666666, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 16.2, 3.5999999999999996, 0.3333333333333333, 0.5555555555555556]","[0, 1, 4.0, 1.2222222222222223, 1.1428571428571428, 1.0]"
22,2020-05-31,20200531KTWO0,"[0, 0, 6.4799999999999995, 1.5599999999999998, 2.0, 5.555555555555556]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 2.25, 0.9583333333333334, 10.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.5, 3, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.875, 3.1875, 6.0, 0.7619047619047619]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.9189189189189193, 1.2972972972972971, 2.5, 1.1212121212121213]","[0, 1, 6.75, 2.1, 0.8, 0.9523809523809524]","[1, 0, 1.0657894736842104, 1.3026315789473686, 1.75, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.319148936170213, 1.723404255319149, 0.8181818181818182, 5.222222222222222]","[0, 0, 5.547945205479452, 1.1506849315068495, 3.5, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 1.875, 0.5, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.05, 1.05, 0.6666666666666666, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 1, 11.571428571428571, 1.7142857142857142, 1.0, 1.1666666666666667]","[0, 0, 16.2, 3.5999999999999996, 0.3333333333333333, 0.5555555555555556]","[0, 0, 4.0, 1.2222222222222223, 1.1428571428571428, 1.0]"
23,2020-06-02,20200602OBKT0,"[0, 0, 6.4799999999999995, 1.5599999999999998, 2.0, 5.555555555555556]","[0, 0, 0.0, 1.0, 0, 1.0]","[1, 0, 1.6875, 0.9375, 5.6, 6.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.5, 3, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 15.0, 3.1666666666666665, 6.0, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9189189189189193, 1.2972972972972971, 2.5, 1.1212121212121213]","[0, 0, 6.75, 2.1, 0.8, 0.9523809523809524]","[0, 0, 1.0657894736842104, 1.3026315789473686, 1.75, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.319148936170213, 1.723404255319149, 0.8181818181818182, 5.222222222222222]","[0, 0, 5.547945205479452, 1.1506849315068495, 3.5, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.875, 0.5, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.5, 0.5, 0.9523809523809524]","[0, 0, 0, 0, 0, 0]","[0, 1, 13.5, 2.25, 0.5, 0.8888888888888888]","[0, 1, 21.6, 4.8, 0.3333333333333333, 0.4166666666666667]","[0, 0, 4.0, 1.2222222222222223, 1.1428571428571428, 1.0]"
24,2020-06-03,20200603OBKT0,"[1, 0, 7.061538461538462, 1.6615384615384614, 2.0, 5.416666666666667]","[0, 0, 0.0, 1.0, 0, 1.0]","[0, 0, 1.6875, 0.9375, 5.6, 6.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 1.5, 3, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.0, 3.1666666666666665, 6.0, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9189189189189193, 1.2972972972972971, 2.5, 1.1212121212121213]","[0, 0, 6.75, 2.1, 0.8, 0.9523809523809524]","[0, 0, 1.0657894736842104, 1.3026315789473686, 1.75, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.319148936170213, 1.723404255319149, 0.8181818181818182, 5.222222222222222]","[0, 0, 5.547945205479452, 1.1506849315068495, 3.5, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.4545454545454546, 1.6363636363636365, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.695652173913043, 1.434782608695652, 0.75, 0.9583333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 2.25, 0.5, 0.8888888888888888]","[0, 0, 21.6, 4.8, 0.3333333333333333, 0.4166666666666667]","[0, 0, 4.0, 1.2222222222222223, 1.1428571428571428, 1.0]"
25,2020-06-04,20200604OBKT0,"[0, 0, 7.061538461538462, 1.6615384615384614, 2.0, 5.416666666666667]","[0, 1, 6.0, 1.3333333333333333, 2, 1.5]","[0, 0, 1.6875, 0.9375, 5.6, 6.4]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 2.0, 4, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 15.0, 3.1666666666666665, 6.0, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9189189189189193, 1.2972972972972971, 2.5, 1.1212121212121213]","[0, 0, 6.75, 2.1, 0.8, 0.9523809523809524]","[0, 0, 1.0657894736842104, 1.3026315789473686, 1.75, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.225806451612903, 1.596774193548387, 0.8, 5.166666666666667]","[0, 0, 5.547945205479452, 1.1506849315068495, 3.5, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.6363636363636365, 1.0, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.695652173913043, 1.434782608695652, 0.75, 0.9583333333333334]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.818181818181818, 1.9090909090909092, 0.6666666666666666, 0.9166666666666666]","[0, 1, 13.5, 3.375, 0.5, 0.5333333333333333]","[0, 0, 4.0, 1.2222222222222223, 1.1428571428571428, 1.0]"
26,2020-06-05,20200605KTLT0,"[0, 0, 7.061538461538462, 1.6615384615384614, 2.0, 5.416666666666667]","[0, 0, 6.0, 1.3333333333333333, 2, 1.5]","[0, 0, 1.6875, 0.9375, 5.6, 6.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 4, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 14.142857142857144, 3.142857142857143, 3.0, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 1.275, 2.5, 1.1111111111111112]","[0, 0, 6.75, 2.1, 0.8, 0.9523809523809524]","[0, 0, 1.0657894736842104, 1.3026315789473686, 1.75, 6.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.225806451612903, 1.596774193548387, 0.8, 5.166666666666667]","[0, 0, 5.547945205479452, 1.1506849315068495, 3.5, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.25, 1.75, 1.5, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.785714285714286, 1.607142857142857, 0.8, 1.0370370370370372]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.5, 1.5, 1.3333333333333333, 1.2]","[0, 0, 13.5, 3.375, 0.5, 0.5333333333333333]","[0, 0, 4.0, 1.2222222222222223, 1.1428571428571428, 1.0]"
27,2020-06-06,20200606KTLT0,"[0, 0, 7.061538461538462, 1.6615384615384614, 2.0, 5.416666666666667]","[0, 0, 6.0, 1.3333333333333333, 2, 1.5]","[0, 0, 1.6875, 0.9375, 5.6, 6.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 4, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 14.142857142857144, 3.142857142857143, 3.0, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.275, 2.5, 1.1111111111111112]","[0, 1, 5.4, 1.68, 0.8, 1.0416666666666667]","[1, 0, 2.67032967032967, 1.4505494505494505, 1.6666666666666667, 6.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.225806451612903, 1.596774193548387, 0.8, 5.166666666666667]","[0, 0, 5.547945205479452, 1.1506849315068495, 3.5, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.75, 1.5, 0.8]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.785714285714286, 1.607142857142857, 0.8, 1.0370370370370372]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.5, 1.5, 1.3333333333333333, 1.2]","[0, 0, 13.5, 3.375, 0.5, 0.5333333333333333]","[0, 0, 4.0, 1.2222222222222223, 1.1428571428571428, 1.0]"
28,2020-06-07,20200607KTLT0,"[0, 0, 7.061538461538462, 1.6615384615384614, 2.0, 5.416666666666667]","[0, 0, 6.0, 1.3333333333333333, 2, 1.5]","[1, 0, 3.8918918918918917, 1.2162162162162162, 6.0, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 4, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 14.142857142857144, 3.142857142857143, 3.0, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.7674418604651163, 1.3255813953488371, 2.75, 1.1025641025641026]","[0, 1, 6.230769230769231, 1.9615384615384617, 0.6666666666666666, 0.9629629629629629]","[0, 0, 2.67032967032967, 1.4505494505494505, 1.6666666666666667, 6.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.225806451612903, 1.596774193548387, 0.8, 5.166666666666667]","[0, 0, 5.547945205479452, 1.1506849315068495, 3.5, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.588235294117647, 1.2352941176470587, 2.5, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.096774193548387, 1.6451612903225805, 1.0, 1.0333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.5, 1.5, 1.3333333333333333, 1.2]","[0, 0, 13.5, 3.375, 0.5, 0.5333333333333333]","[0, 0, 4.0, 1.2222222222222223, 1.1428571428571428, 1.0]"
29,2020-06-09,20200609HTKT0,"[1, 0, 5.337209302325581, 1.4302325581395348, 1.4285714285714286, 5.733333333333333]","[0, 0, 6.0, 1.3333333333333333, 2, 1.5]","[0, 0, 3.8918918918918917, 1.2162162162162162, 6.0, 6.166666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.0, 2.0, 4, 0.75]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 14.142857142857144, 3.142857142857143, 3.0, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.5217391304347827, 1.2391304347826086, 3.25, 1.0952380952380953]","[0, 0, 6.230769230769231, 1.9615384615384617, 0.6666666666666666, 0.9629629629629629]","[0, 0, 2.67032967032967, 1.4505494505494505, 1.6666666666666667, 6.066666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 7.875000000000001, 1.625, 4.0, 1.1428571428571428]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.225806451612903, 1.596774193548387, 0.8, 5.166666666666667]","[0, 0, 5.547945205479452, 1.1506849315068495, 3.5, 6.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.35, 1.05, 2.5, 0.9523809523809524]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.5, 2.0, 1.0, 2.0]","[0, 0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.096774193548387, 1.6451612903225805, 1.0, 1.0333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.428571428571428, 1.4285714285714286, 1.6666666666666667, 1.1666666666666667]","[0, 1, 9.0, 2.25, 0.75, 0.6666666666666666]","[0, 0, 4.0, 1.2222222222222223, 1.1428571428571428, 1.0]"
