,date,game_key,임형원,안인산,라이트,김태경,정구범,이재학,김건태,강동연,홍성민,장현식,임정호,박진우,배재환,홍성무,구창모,최성영,김진호,김태현,소이현,김영규,신민혁,이승헌,루친스키,송명기,전사민,배민서,김진성,원종현,임창민,강윤구
0,2020-05-05,20200505NCSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]"
1,2020-05-06,20200506NCSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 0.6666666666666666]","[0, 1, 0.0, 0.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]"
2,2020-05-07,20200507NCSS0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.6666666666666666]","[0, 0, 0.0, 0.0, 1, 1.0]","[0, 0, 0, 0, 0, 0]"
3,2020-05-08,20200508LGNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 1.0]","[0, 1, 0.0, 6.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.6666666666666666]","[0, 1, 0.0, 0.0, 1, 0.6666666666666666]","[0, 1, 0.0, 0.0, 0, 1.0]"
4,2020-05-10,20200510LGNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.5, 2, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 13.5, 1.5, 1, 0.6666666666666666]","[0, 1, 0.0, 0.6, 1, 0.8333333333333334]","[0, 1, 0.0, 1.5, 0.5, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 1, 0.6666666666666666]","[0, 1, 5.4, 0.6, 2, 0.5555555555555556]","[0, 1, 0.0, 1.2, 0.5, 0.8333333333333334]"
5,2020-05-12,20200512KTNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 11.571428571428571, 1.7142857142857142, 2.0, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 1.5, 1, 0.6666666666666666]","[0, 1, 0.0, 0.42857142857142855, 2, 0.7777777777777778]","[0, 1, 0.0, 1.875, 0.25, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 0.0, 1.1666666666666667, 1.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.0, 1, 0.8333333333333334]","[0, 0, 5.4, 0.6, 2, 0.5555555555555556]","[0, 1, 0.0, 1.2857142857142856, 0.3333333333333333, 0.7777777777777778]"
6,2020-05-13,20200513KTNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.6, 1.0, 7.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 1.7142857142857142, 2.0, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.5, 1.0, 0.6666666666666666]","[0, 1, 0.0, 0.3333333333333333, 3, 0.75]","[0, 0, 0.0, 1.875, 0.25, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.1666666666666667, 1.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 0.375, 2.0, 0.8888888888888888]","[0, 1, 22.5, 2.5, 3, 0.5]","[0, 0, 0.0, 1.2857142857142856, 0.3333333333333333, 0.7777777777777778]"
7,2020-05-14,20200514KTNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.0, 7.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.571428571428571, 1.7142857142857142, 2.0, 0.7777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.4, 1.2, 1.0, 0.5555555555555556]","[0, 0, 0.0, 0.3333333333333333, 3, 0.75]","[0, 0, 0.0, 1.875, 0.25, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[1, 0, 0.0, 0.6666666666666666, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.1666666666666667, 1.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.4545454545454546, 0.5454545454545455, 3.0, 0.9166666666666666]","[0, 0, 22.5, 2.5, 3, 0.5]","[0, 0, 0.0, 1.2857142857142856, 0.3333333333333333, 0.7777777777777778]"
8,2020-05-15,20200515NCSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.0, 7.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 6.75, 1.5, 3.0, 5.333333333333333]","[0, 1, 8.1, 1.2, 4.0, 0.8333333333333334]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.2, 1.0, 0.5555555555555556]","[0, 1, 1.9285714285714284, 0.42857142857142855, 3, 0.9333333333333333]","[0, 0, 0.0, 1.875, 0.25, 0.8888888888888888]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.1666666666666667, 1.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 0.5454545454545455, 3.0, 0.9166666666666666]","[0, 1, 15.0, 2.0, 5, 0.6]","[0, 1, 2.7, 1.5, 0.6666666666666666, 0.8333333333333334]"
9,2020-05-16,20200516NCSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.0, 7.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 3.0, 5.333333333333333]","[0, 0, 8.1, 1.2, 4.0, 0.8333333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 0.8571428571428571, 1.0, 0.5833333333333334]","[0, 1, 1.6875, 0.5625, 3.0, 0.8888888888888888]","[0, 1, 0.0, 2.181818181818182, 0.2, 0.9166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.4, 1.6, 4, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.1666666666666667, 1.5, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.25, 1.0, 4.0, 0.8]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 1, 2.25, 1.25, 0.6666666666666666, 0.8]"
10,2020-05-17,20200517NCSK0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6, 1.0, 7.0, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 3.0, 5.333333333333333]","[0, 1, 6.75, 1.25, 3.0, 0.8]","[0, 1, 0.0, 0.0, 0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 0.8571428571428571, 1.0, 0.5833333333333334]","[0, 0, 1.6875, 0.5625, 3.0, 0.8888888888888888]","[0, 1, 0.0, 1.9285714285714284, 0.2, 0.9333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.6, 4, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.9705882352941178, 1.588235294117647, 2.4, 5.666666666666667]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.0, 4.0, 0.8]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 2.25, 1.25, 0.6666666666666666, 0.8]"
11,2020-05-19,20200519NCOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.4545454545454546, 1.0909090909090908, 3.6666666666666665, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 3.0, 5.333333333333333]","[0, 0, 6.75, 1.25, 3.0, 0.8]","[0, 0, 0.0, 0.0, 0, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 1.125, 1.0, 0.5333333333333333]","[0, 1, 1.588235294117647, 0.5294117647058824, 4.0, 0.8095238095238095]","[0, 1, 0.0, 1.7647058823529411, 0.6, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6666666666666666, 4.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.6, 4, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.588235294117647, 2.4, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.8, 1.0, 2.5, 0.8333333333333334]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 1, 2.076923076923077, 1.153846153846154, 0.6666666666666666, 0.7222222222222222]"
12,2020-05-20,20200520NCOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.0909090909090908, 3.6666666666666665, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.5, 3.0, 5.333333333333333]","[0, 1, 5.785714285714286, 1.0714285714285714, 3.5, 0.7777777777777778]","[0, 1, 0.0, 0.42857142857142855, 2.0, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 1.5, 0.5, 0.5555555555555556]","[0, 1, 1.35, 0.44999999999999996, 4.0, 0.8333333333333334]","[0, 0, 0.0, 1.7647058823529411, 0.6, 0.9444444444444445]","[0, 0, 0, 0, 0, 0]","[1, 0, 0.0, 0.6428571428571429, 6.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.6, 4, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.588235294117647, 2.4, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8, 1.0, 2.5, 0.8333333333333334]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 1, 5.4, 1.8, 1.0, 0.7142857142857143]"
13,2020-05-21,20200521NCOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.0909090909090908, 3.6666666666666665, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.9705882352941178, 0.9705882352941176, 3.3333333333333335, 5.666666666666667]","[0, 0, 5.785714285714286, 1.0714285714285714, 3.5, 0.7777777777777778]","[0, 0, 0.0, 0.42857142857142855, 2.0, 1.1666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 2.7, 1.5, 0.5, 0.5555555555555556]","[0, 0, 1.35, 0.44999999999999996, 4.0, 0.8333333333333334]","[0, 1, 3.0, 2.0, 0.42857142857142855, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6428571428571429, 6.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.4, 1.6, 4, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.588235294117647, 2.4, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8, 1.0, 2.5, 0.8333333333333334]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 5.4, 1.8, 1.0, 0.7142857142857143]"
14,2020-05-22,20200522HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.0909090909090908, 3.6666666666666665, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 0.9705882352941176, 3.3333333333333335, 5.666666666666667]","[0, 1, 5.4, 1.2, 2.3333333333333335, 0.7142857142857143]","[0, 1, 3.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.5, 0.5, 0.5555555555555556]","[0, 0, 1.35, 0.44999999999999996, 4.0, 0.8333333333333334]","[0, 0, 3.0, 2.0, 0.42857142857142855, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6428571428571429, 6.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.272727272727273, 1.0909090909090908, 9, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 1.588235294117647, 2.4, 5.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.8, 1.0, 2.5, 0.8333333333333334]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 1, 5.4, 2.0, 1.0, 0.625]"
15,2020-05-23,20200523HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.4545454545454546, 1.0909090909090908, 3.6666666666666665, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 0.9705882352941176, 3.3333333333333335, 5.666666666666667]","[0, 0, 5.4, 1.2, 2.3333333333333335, 0.7142857142857143]","[0, 0, 3.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.5, 0.5, 0.5555555555555556]","[0, 0, 1.35, 0.44999999999999996, 4.0, 0.8333333333333334]","[0, 0, 3.0, 2.0, 0.42857142857142855, 0.8571428571428571]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6428571428571429, 6.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.0909090909090908, 9, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.6346153846153846, 1.5576923076923077, 2.3333333333333335, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.4210526315789473, 0.9473684210526316, 3.5, 0.9047619047619048]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 0, 5.4, 2.0, 1.0, 0.625]"
16,2020-05-24,20200524HHNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 1.6875, 1.3125, 2.0, 5.333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9705882352941178, 0.9705882352941176, 3.3333333333333335, 5.666666666666667]","[0, 0, 5.4, 1.2, 2.3333333333333335, 0.7142857142857143]","[0, 0, 3.0, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.0, 1.0, 0, 2.0]","[0, 1, 2.076923076923077, 1.153846153846154, 1.5, 0.619047619047619]","[0, 1, 1.2857142857142856, 0.5714285714285714, 2.0, 0.7777777777777778]","[0, 1, 2.25, 1.625, 0.5714285714285714, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.6428571428571429, 6.0, 7.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.0909090909090908, 9, 5.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.6346153846153846, 1.5576923076923077, 2.3333333333333335, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.4210526315789473, 0.9473684210526316, 3.5, 0.9047619047619048]","[0, 0, 15.0, 2.0, 5, 0.6]","[0, 1, 4.263157894736842, 1.5789473684210527, 1.3333333333333333, 0.7037037037037037]"
