,date,game_key,제환유,플렉센,이주엽,조제영,최세창,홍건희,윤명준,이동원,이형범,함덕주,박종기,진재혁,이승진,채지선,이영하,김명신,문대원,최원준,박치국,김민규,박신지,김호준,알칸타라,전창민,이교훈,정현욱,권혁,김승회,장원준,이현승,이용찬,김강률,유희관
17,2020-05-26,20200526SKOB0,"[0, 0, 0, 0, 0, 0]","[1, 0, 2.7, 1.05, 5.5, 6.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.230769230769231, 1.5, 6.0, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.2, 2.6, 1.0, 0.8333333333333334]","[0, 0, 3.8571428571428568, 1.0, 1.6666666666666667, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.108695652173913, 1.7608695652173911, 1.0, 5.111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.96875, 1.96875, 3.5, 1.3333333333333333]","[0, 1, 5.0, 2.111111111111111, 0.4444444444444444, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0, 1.3888888888888888, 8.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 0.75, 3, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.1153846153846154, 1.3846153846153848, 1.6, 0.9629629629629629]","[0, 0, 12.6, 1.7, 2.3333333333333335, 5.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.0, 2.111111111111111, 0.8, 4.5]"
18,2020-05-27,20200527SKOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.05, 5.5, 6.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 1.5, 6.0, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 16.2, 2.6, 1.0, 0.8333333333333334]","[0, 1, 3.375, 1.125, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.108695652173913, 1.7608695652173911, 1.0, 5.111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.96875, 1.96875, 3.5, 1.3333333333333333]","[0, 1, 4.655172413793104, 2.0689655172413794, 0.6666666666666666, 0.9666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0, 1.3888888888888888, 8.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 0.75, 3, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.1153846153846154, 1.3846153846153848, 1.6, 0.9629629629629629]","[0, 0, 12.6, 1.7, 2.3333333333333335, 5.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.2, 2.0, 0.8333333333333334, 5.0]"
19,2020-05-28,20200528SKOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.05, 5.5, 6.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 1.5, 6.0, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 13.5, 2.1666666666666665, 1.5, 0.8571428571428571]","[0, 0, 3.375, 1.125, 2.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.108695652173913, 1.7608695652173911, 1.0, 5.111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 10.028571428571428, 1.9714285714285715, 4.0, 1.2962962962962963]","[0, 0, 4.655172413793104, 2.0689655172413794, 0.6666666666666666, 0.9666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.0, 1.3888888888888888, 8.0, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 0.6666666666666666, 3, 0.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.1153846153846154, 1.3846153846153848, 1.6, 0.9629629629629629]","[1, 0, 10.340425531914894, 1.8510638297872342, 1.8, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2, 2.0, 0.8333333333333334, 5.0]"
20,2020-05-29,20200529LTOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.05, 5.5, 6.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.586206896551724, 1.3448275862068966, 6.0, 1.074074074074074]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 2.1666666666666665, 1.5, 0.8571428571428571]","[0, 1, 2.7, 1.0, 2.3333333333333335, 1.1111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.108695652173913, 1.7608695652173911, 1.0, 5.111111111111112]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.028571428571428, 1.9714285714285715, 4.0, 1.2962962962962963]","[0, 0, 4.655172413793104, 2.0689655172413794, 0.6666666666666666, 0.9666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.125, 1.3333333333333333, 6.333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 0.6666666666666666, 3, 0.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.7241379310344827, 1.4482758620689655, 1.8, 0.9666666666666666]","[0, 0, 10.340425531914894, 1.8510638297872342, 1.8, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2, 2.0, 0.8333333333333334, 5.0]"
21,2020-05-30,20200530LTOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 1.05, 5.5, 6.666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.0625, 1.21875, 8.0, 1.0666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 11.739130434782608, 2.0869565217391304, 1.0, 0.9583333333333334]","[0, 1, 2.4545454545454546, 0.9090909090909091, 2.3333333333333335, 1.1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.754098360655737, 1.9672131147540985, 0.9375, 5.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 10.028571428571428, 1.9714285714285715, 4.0, 1.2962962962962963]","[0, 0, 4.655172413793104, 2.0689655172413794, 0.6666666666666666, 0.9666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.125, 1.3333333333333333, 6.333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.1, 1.2, 3.0, 0.5555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.375, 1.40625, 2.0, 0.9696969696969696]","[0, 0, 10.340425531914894, 1.8510638297872342, 1.8, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2, 2.0, 0.8333333333333334, 5.0]"
22,2020-05-31,20200531LTOB0,"[0, 0, 0, 0, 0, 0]","[1, 0, 3.1153846153846154, 1.1153846153846154, 3.25, 6.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.0625, 1.21875, 8.0, 1.0666666666666667]","[0, 0, 0, 0, 0, 0]","[0, 1, 11.25, 2.125, 0.75, 0.8888888888888888]","[0, 0, 2.4545454545454546, 0.9090909090909091, 2.3333333333333335, 1.1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.754098360655737, 1.9672131147540985, 0.9375, 5.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 1, 9.236842105263158, 1.8157894736842106, 4.5, 1.2666666666666666]","[0, 1, 5.586206896551724, 2.2758620689655173, 0.6, 0.8787878787878788]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.125, 1.3333333333333333, 6.333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.0, 3.0, 0.5714285714285714]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.40625, 2.0, 0.9696969696969696]","[0, 0, 10.340425531914894, 1.8510638297872342, 1.8, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.2, 2.0, 0.8333333333333334, 5.0]"
23,2020-06-02,20200602OBKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.1153846153846154, 1.1153846153846154, 3.25, 6.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.7272727272727275, 1.2727272727272727, 8.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.25, 2.125, 0.75, 0.8888888888888888]","[0, 1, 2.131578947368421, 0.9473684210526316, 2.6666666666666665, 1.1515151515151514]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.754098360655737, 1.9672131147540985, 0.9375, 5.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 8.162790697674419, 1.6046511627906976, 5.5, 1.303030303030303]","[0, 0, 5.586206896551724, 2.2758620689655173, 0.6, 0.8787878787878788]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.125, 1.3333333333333333, 6.333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.0, 3.0, 0.5714285714285714]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.272727272727273, 1.3636363636363635, 2.0, 0.9166666666666666]","[0, 0, 10.340425531914894, 1.8510638297872342, 1.8, 5.222222222222222]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.272727272727273, 1.7272727272727273, 1.0, 5.5]"
24,2020-06-03,20200603OBKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.1153846153846154, 1.1153846153846154, 3.25, 6.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.7272727272727275, 1.2727272727272727, 8.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.25, 2.125, 0.75, 0.8888888888888888]","[0, 0, 2.131578947368421, 0.9473684210526316, 2.6666666666666665, 1.1515151515151514]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.754098360655737, 1.9672131147540985, 0.9375, 5.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.5, 0, 0.6666666666666666]","[0, 0, 8.162790697674419, 1.6046511627906976, 5.5, 1.303030303030303]","[0, 0, 5.586206896551724, 2.2758620689655173, 0.6, 0.8787878787878788]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.125, 1.3333333333333333, 6.333333333333333, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.75, 1.0, 3.0, 0.5714285714285714]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.3636363636363635, 2.0, 0.9166666666666666]","[1, 0, 8.723076923076924, 1.7538461538461538, 2.0, 5.416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.7272727272727273, 1.0, 5.5]"
25,2020-06-04,20200604OBKT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.1153846153846154, 1.1153846153846154, 3.25, 6.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.942857142857142, 1.4571428571428573, 8.0, 0.9722222222222222]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.25, 2.125, 0.75, 0.8888888888888888]","[0, 0, 2.131578947368421, 0.9473684210526316, 2.6666666666666665, 1.1515151515151514]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.754098360655737, 1.9672131147540985, 0.9375, 5.083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 0, 0.6666666666666666]","[0, 1, 7.630434782608695, 1.5652173913043477, 6.5, 1.277777777777778]","[0, 1, 4.263157894736842, 2.1315789473684212, 0.6153846153846154, 1.0555555555555556]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.8999999999999995, 1.4666666666666666, 3.8333333333333335, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 9.642857142857142, 1.2857142857142856, 2.0, 0.5833333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.3636363636363635, 2.0, 0.9166666666666666]","[0, 0, 8.723076923076924, 1.7538461538461538, 2.0, 5.416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.7272727272727273, 1.0, 5.5]"
26,2020-06-05,20200605HTOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 3.1153846153846154, 1.1153846153846154, 3.25, 6.5]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.394736842105263, 1.4210526315789473, 4.0, 0.9743589743589743]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.25, 2.125, 0.75, 0.8888888888888888]","[0, 1, 2.076923076923077, 0.9230769230769231, 3.3333333333333335, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[1, 0, 5.142857142857142, 1.8214285714285714, 0.8947368421052632, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 0, 0.6666666666666666]","[0, 0, 7.630434782608695, 1.5652173913043477, 6.5, 1.277777777777778]","[0, 1, 3.951219512195122, 2.048780487804878, 0.6153846153846154, 1.0512820512820513]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8999999999999995, 1.4666666666666666, 3.8333333333333335, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 9.642857142857142, 1.2857142857142856, 2.0, 0.5833333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.75, 1.5, 1.7142857142857142, 0.9230769230769231]","[0, 0, 8.723076923076924, 1.7538461538461538, 2.0, 5.416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.7272727272727273, 1.0, 5.5]"
27,2020-06-06,20200606HTOB0,"[0, 0, 0, 0, 0, 0]","[1, 0, 2.6129032258064515, 1.1935483870967742, 2.1538461538461537, 6.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.394736842105263, 1.4210526315789473, 4.0, 0.9743589743589743]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.25, 2.125, 0.75, 0.8888888888888888]","[0, 0, 2.076923076923077, 0.9230769230769231, 3.3333333333333335, 1.0833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.142857142857142, 1.8214285714285714, 0.8947368421052632, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 0, 0.6666666666666666]","[0, 1, 7.163265306122449, 1.5918367346938778, 4.333333333333333, 1.2564102564102564]","[0, 1, 3.6818181818181817, 1.9772727272727273, 0.6923076923076923, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8999999999999995, 1.4666666666666666, 3.8333333333333335, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.9411764705882355, 1.2352941176470587, 2.5, 0.6296296296296297]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.75, 1.5, 1.7142857142857142, 0.9230769230769231]","[0, 0, 8.723076923076924, 1.7538461538461538, 2.0, 5.416666666666667]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.272727272727273, 1.7272727272727273, 1.0, 5.5]"
28,2020-06-07,20200607HTOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 2.6129032258064515, 1.1935483870967742, 2.1538461538461537, 6.2]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.230769230769231, 1.4615384615384615, 4.0, 0.9285714285714286]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.25, 2.125, 0.75, 0.8888888888888888]","[0, 1, 1.8409090909090908, 0.8181818181818182, 4.666666666666667, 1.1282051282051282]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.142857142857142, 1.8214285714285714, 0.8947368421052632, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.5, 0, 0.6666666666666666]","[0, 0, 7.163265306122449, 1.5918367346938778, 4.333333333333333, 1.2564102564102564]","[0, 0, 3.6818181818181817, 1.9772727272727273, 0.6923076923076923, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8999999999999995, 1.4666666666666666, 3.8333333333333335, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 7.105263157894736, 1.105263157894737, 2.5, 0.6333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.75, 1.5, 1.7142857142857142, 0.9230769230769231]","[0, 0, 8.723076923076924, 1.7538461538461538, 2.0, 5.416666666666667]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.8571428571428568, 1.6428571428571428, 1.0909090909090908, 5.6]"
29,2020-06-09,20200609OBNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 2.6129032258064515, 1.1935483870967742, 2.1538461538461537, 6.2]","[0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.230769230769231, 1.4615384615384615, 4.0, 0.9285714285714286]","[0, 0, 0, 0, 0, 0]","[0, 0, 11.25, 2.125, 0.75, 0.8888888888888888]","[0, 0, 1.8409090909090908, 0.8181818181818182, 4.666666666666667, 1.1282051282051282]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 1.0, 0.0, 1.0]","[0, 1, 27.0, 6.0, 1.0, 0.3333333333333333]","[0, 0, 5.142857142857142, 1.8214285714285714, 0.8947368421052632, 5.6]","[0, 0, 0, 0, 0, 0]","[0, 1, 0.0, 2.25, 0, 1.3333333333333333]","[0, 1, 6.622641509433962, 1.471698113207547, 4.666666666666667, 1.261904761904762]","[0, 0, 3.6818181818181817, 1.9772727272727273, 0.6923076923076923, 1.0476190476190477]","[0, 0, 0, 0, 0, 0]","[0, 0, 13.5, 3.0, 3, 2.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8999999999999995, 1.4666666666666666, 3.8333333333333335, 6.0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.75, 1.2, 1.6666666666666667, 0.6060606060606061]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.75, 1.5, 1.7142857142857142, 0.9230769230769231]","[0, 0, 8.723076923076924, 1.7538461538461538, 2.0, 5.416666666666667]","[0, 1, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.6428571428571428, 1.0909090909090908, 5.6]"
