TeamA,TeamB,hp_1,hp_2,hp_3,h1_1,h1_2,h1_3,h2_1,h2_2,h2_3,h3_1,h3_2,h3_3,h4_1,h4_2,h4_3,h5_1,h5_2,h5_3,h6_1,h6_2,h6_3,h7_1,h7_2,h7_3,h8_1,h8_2,h8_3,h9_1,h9_2,h9_3,ap_1,ap_2,ap_3,a1_1,a1_2,a1_3,a2_1,a2_2,a2_3,a3_1,a3_2,a3_3,a4_1,a4_2,a4_3,a5_1,a5_2,a5_3,a6_1,a6_2,a6_3,a7_1,a7_2,a7_3,a8_1,a8_2,a8_3,a9_1,a9_2,a9_3
LG,KT,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125,4.63515625,1.49984375,1.789375,0.262703125,0.336390625,0.348171875,0.286796875,0.360546875,0.429640625,0.323125,0.4000625,0.524421875,0.309203125,0.380796875,0.520859375,0.299671875,0.37021875,0.500453125,0.287375,0.361765625,0.452828125,0.27140625,0.346265625,0.414828125,0.262921875,0.32321875,0.368328125,0.24021875,0.304671875,0.332859375
LG,LG,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125
LG,LT,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871
LG,NC,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968
LG,OB,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125,4.7890625,1.5003125,2.68828125,0.299109375,0.36159375,0.446375,0.346890625,0.408625,0.50746875,0.306140625,0.370453125,0.477046875,0.27615625,0.372078125,0.48525,0.291546875,0.355640625,0.443265625,0.2896875,0.358890625,0.38625,0.271222222,0.343460317,0.375079365,0.262733333,0.33435,0.349216667,0.266746032,0.328142857,0.345238095
LG,SK,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125,5.769384615,1.570153846,1.666,0.25996,0.31512,0.35552,0.261123077,0.315030769,0.349738462,0.253569231,0.367723077,0.495661538,0.267492308,0.379323077,0.501661538,0.249630769,0.319676923,0.378169231,0.240107692,0.302615385,0.353123077,0.211123077,0.284907692,0.287738462,0.209815385,0.2806,0.290569231,0.221714286,0.290603175,0.291238095
LG,SS,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125,4.659538462,1.465384615,1.887692308,0.306369231,0.392523077,0.401107692,0.281276923,0.345215385,0.414630769,0.284492308,0.369815385,0.442446154,0.270476923,0.348830769,0.427969231,0.252676923,0.333138462,0.380476923,0.254307692,0.322384615,0.391338462,0.263553846,0.328507692,0.387061538,0.258769231,0.32,0.391892308,0.253738462,0.315,0.354907692
LG,WO,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125,4.31,1.32469697,2.588939394,0.287106061,0.389984848,0.406712121,0.288924242,0.382469697,0.496621212,0.342272727,0.405363636,0.546,0.241181818,0.365651515,0.475378788,0.263318182,0.345060606,0.416666667,0.26819697,0.337787879,0.38219697,0.244409091,0.304469697,0.356166667,0.244530303,0.311181818,0.344712121,0.237106061,0.370439394,0.316348485
LT,HH,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871,5.616153846,1.640307692,1.844615385,0.246684211,0.354105263,0.321578947,0.240808511,0.344404255,0.329382979,0.213191489,0.286893617,0.321106383,0.218292308,0.294323077,0.340846154,0.231610169,0.3,0.349932203,0.224474576,0.298118644,0.32940678,0.229509804,0.296019608,0.334823529,0.252969231,0.324615385,0.351092308,0.193071429,0.264333333,0.26902381
LT,HT,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871,4.558870968,1.369354839,2.981129032,0.266645161,0.338548387,0.374516129,0.317419355,0.401806452,0.487177419,0.323129032,0.4105,0.544370968,0.310822581,0.403258065,0.490064516,0.267758065,0.362,0.404903226,0.253854839,0.332758065,0.382112903,0.253983871,0.319903226,0.368870968,0.232129032,0.3015,0.345709677,0.237645161,0.299887097,0.331774194
LT,KT,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871,4.63515625,1.49984375,1.789375,0.262703125,0.336390625,0.348171875,0.286796875,0.360546875,0.429640625,0.323125,0.4000625,0.524421875,0.309203125,0.380796875,0.520859375,0.299671875,0.37021875,0.500453125,0.287375,0.361765625,0.452828125,0.27140625,0.346265625,0.414828125,0.262921875,0.32321875,0.368328125,0.24021875,0.304671875,0.332859375
LT,LG,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125
LT,LT,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871
LT,NC,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968
LT,OB,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871,4.7890625,1.5003125,2.68828125,0.299109375,0.36159375,0.446375,0.346890625,0.408625,0.50746875,0.306140625,0.370453125,0.477046875,0.27615625,0.372078125,0.48525,0.291546875,0.355640625,0.443265625,0.2896875,0.358890625,0.38625,0.271222222,0.343460317,0.375079365,0.262733333,0.33435,0.349216667,0.266746032,0.328142857,0.345238095
LT,SK,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871,5.769384615,1.570153846,1.666,0.25996,0.31512,0.35552,0.261123077,0.315030769,0.349738462,0.253569231,0.367723077,0.495661538,0.267492308,0.379323077,0.501661538,0.249630769,0.319676923,0.378169231,0.240107692,0.302615385,0.353123077,0.211123077,0.284907692,0.287738462,0.209815385,0.2806,0.290569231,0.221714286,0.290603175,0.291238095
LT,SS,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871,4.659538462,1.465384615,1.887692308,0.306369231,0.392523077,0.401107692,0.281276923,0.345215385,0.414630769,0.284492308,0.369815385,0.442446154,0.270476923,0.348830769,0.427969231,0.252676923,0.333138462,0.380476923,0.254307692,0.322384615,0.391338462,0.263553846,0.328507692,0.387061538,0.258769231,0.32,0.391892308,0.253738462,0.315,0.354907692
LT,WO,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871,4.31,1.32469697,2.588939394,0.287106061,0.389984848,0.406712121,0.288924242,0.382469697,0.496621212,0.342272727,0.405363636,0.546,0.241181818,0.365651515,0.475378788,0.263318182,0.345060606,0.416666667,0.26819697,0.337787879,0.38219697,0.244409091,0.304469697,0.356166667,0.244530303,0.311181818,0.344712121,0.237106061,0.370439394,0.316348485
NC,HH,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968,5.616153846,1.640307692,1.844615385,0.246684211,0.354105263,0.321578947,0.240808511,0.344404255,0.329382979,0.213191489,0.286893617,0.321106383,0.218292308,0.294323077,0.340846154,0.231610169,0.3,0.349932203,0.224474576,0.298118644,0.32940678,0.229509804,0.296019608,0.334823529,0.252969231,0.324615385,0.351092308,0.193071429,0.264333333,0.26902381
NC,HT,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968,4.558870968,1.369354839,2.981129032,0.266645161,0.338548387,0.374516129,0.317419355,0.401806452,0.487177419,0.323129032,0.4105,0.544370968,0.310822581,0.403258065,0.490064516,0.267758065,0.362,0.404903226,0.253854839,0.332758065,0.382112903,0.253983871,0.319903226,0.368870968,0.232129032,0.3015,0.345709677,0.237645161,0.299887097,0.331774194
NC,KT,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968,4.63515625,1.49984375,1.789375,0.262703125,0.336390625,0.348171875,0.286796875,0.360546875,0.429640625,0.323125,0.4000625,0.524421875,0.309203125,0.380796875,0.520859375,0.299671875,0.37021875,0.500453125,0.287375,0.361765625,0.452828125,0.27140625,0.346265625,0.414828125,0.262921875,0.32321875,0.368328125,0.24021875,0.304671875,0.332859375
NC,LG,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125
NC,LT,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871
NC,NC,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968
NC,OB,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968,4.7890625,1.5003125,2.68828125,0.299109375,0.36159375,0.446375,0.346890625,0.408625,0.50746875,0.306140625,0.370453125,0.477046875,0.27615625,0.372078125,0.48525,0.291546875,0.355640625,0.443265625,0.2896875,0.358890625,0.38625,0.271222222,0.343460317,0.375079365,0.262733333,0.33435,0.349216667,0.266746032,0.328142857,0.345238095
NC,SK,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968,5.769384615,1.570153846,1.666,0.25996,0.31512,0.35552,0.261123077,0.315030769,0.349738462,0.253569231,0.367723077,0.495661538,0.267492308,0.379323077,0.501661538,0.249630769,0.319676923,0.378169231,0.240107692,0.302615385,0.353123077,0.211123077,0.284907692,0.287738462,0.209815385,0.2806,0.290569231,0.221714286,0.290603175,0.291238095
NC,SS,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968,4.659538462,1.465384615,1.887692308,0.306369231,0.392523077,0.401107692,0.281276923,0.345215385,0.414630769,0.284492308,0.369815385,0.442446154,0.270476923,0.348830769,0.427969231,0.252676923,0.333138462,0.380476923,0.254307692,0.322384615,0.391338462,0.263553846,0.328507692,0.387061538,0.258769231,0.32,0.391892308,0.253738462,0.315,0.354907692
NC,WO,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968,4.31,1.32469697,2.588939394,0.287106061,0.389984848,0.406712121,0.288924242,0.382469697,0.496621212,0.342272727,0.405363636,0.546,0.241181818,0.365651515,0.475378788,0.263318182,0.345060606,0.416666667,0.26819697,0.337787879,0.38219697,0.244409091,0.304469697,0.356166667,0.244530303,0.311181818,0.344712121,0.237106061,0.370439394,0.316348485
OB,HH,4.7890625,1.5003125,2.68828125,0.299109375,0.36159375,0.446375,0.346890625,0.408625,0.50746875,0.306140625,0.370453125,0.477046875,0.27615625,0.372078125,0.48525,0.291546875,0.355640625,0.443265625,0.2896875,0.358890625,0.38625,0.271222222,0.343460317,0.375079365,0.262733333,0.33435,0.349216667,0.266746032,0.328142857,0.345238095,5.616153846,1.640307692,1.844615385,0.246684211,0.354105263,0.321578947,0.240808511,0.344404255,0.329382979,0.213191489,0.286893617,0.321106383,0.218292308,0.294323077,0.340846154,0.231610169,0.3,0.349932203,0.224474576,0.298118644,0.32940678,0.229509804,0.296019608,0.334823529,0.252969231,0.324615385,0.351092308,0.193071429,0.264333333,0.26902381
OB,HT,4.7890625,1.5003125,2.68828125,0.299109375,0.36159375,0.446375,0.346890625,0.408625,0.50746875,0.306140625,0.370453125,0.477046875,0.27615625,0.372078125,0.48525,0.291546875,0.355640625,0.443265625,0.2896875,0.358890625,0.38625,0.271222222,0.343460317,0.375079365,0.262733333,0.33435,0.349216667,0.266746032,0.328142857,0.345238095,4.558870968,1.369354839,2.981129032,0.266645161,0.338548387,0.374516129,0.317419355,0.401806452,0.487177419,0.323129032,0.4105,0.544370968,0.310822581,0.403258065,0.490064516,0.267758065,0.362,0.404903226,0.253854839,0.332758065,0.382112903,0.253983871,0.319903226,0.368870968,0.232129032,0.3015,0.345709677,0.237645161,0.299887097,0.331774194
OB,KT,4.7890625,1.5003125,2.68828125,0.299109375,0.36159375,0.446375,0.346890625,0.408625,0.50746875,0.306140625,0.370453125,0.477046875,0.27615625,0.372078125,0.48525,0.291546875,0.355640625,0.443265625,0.2896875,0.358890625,0.38625,0.271222222,0.343460317,0.375079365,0.262733333,0.33435,0.349216667,0.266746032,0.328142857,0.345238095,4.63515625,1.49984375,1.789375,0.262703125,0.336390625,0.348171875,0.286796875,0.360546875,0.429640625,0.323125,0.4000625,0.524421875,0.309203125,0.380796875,0.520859375,0.299671875,0.37021875,0.500453125,0.287375,0.361765625,0.452828125,0.27140625,0.346265625,0.414828125,0.262921875,0.32321875,0.368328125,0.24021875,0.304671875,0.332859375
OB,LG,4.7890625,1.5003125,2.68828125,0.299109375,0.36159375,0.446375,0.346890625,0.408625,0.50746875,0.306140625,0.370453125,0.477046875,0.27615625,0.372078125,0.48525,0.291546875,0.355640625,0.443265625,0.2896875,0.358890625,0.38625,0.271222222,0.343460317,0.375079365,0.262733333,0.33435,0.349216667,0.266746032,0.328142857,0.345238095,4.4725,1.37734375,2.48953125,0.28028125,0.36025,0.369625,0.317296875,0.38728125,0.49496875,0.313375,0.37346875,0.488296875,0.287921875,0.369625,0.598984375,0.28334375,0.339625,0.41425,0.272953125,0.33375,0.38553125,0.264984375,0.337859375,0.38009375,0.2535,0.3185,0.37921875,0.2541875,0.321078125,0.358328125
OB,LT,4.7890625,1.5003125,2.68828125,0.299109375,0.36159375,0.446375,0.346890625,0.408625,0.50746875,0.306140625,0.370453125,0.477046875,0.27615625,0.372078125,0.48525,0.291546875,0.355640625,0.443265625,0.2896875,0.358890625,0.38625,0.271222222,0.343460317,0.375079365,0.262733333,0.33435,0.349216667,0.266746032,0.328142857,0.345238095,4.625806452,1.41,2.346129032,0.284258065,0.351177419,0.3855,0.306483871,0.373193548,0.469758065,0.313677419,0.378451613,0.465790323,0.286516129,0.353806452,0.445903226,0.275467742,0.352016129,0.396016129,0.271854839,0.360080645,0.380854839,0.260725806,0.337854839,0.367096774,0.201645161,0.285064516,0.269564516,0.229241935,0.303774194,0.302983871
OB,NC,4.7890625,1.5003125,2.68828125,0.299109375,0.36159375,0.446375,0.346890625,0.408625,0.50746875,0.306140625,0.370453125,0.477046875,0.27615625,0.372078125,0.48525,0.291546875,0.355640625,0.443265625,0.2896875,0.358890625,0.38625,0.271222222,0.343460317,0.375079365,0.262733333,0.33435,0.349216667,0.266746032,0.328142857,0.345238095,4.417936508,1.358095238,2.812698413,0.330428571,0.38868254,0.443777778,0.296269841,0.370777778,0.40947619,0.322873016,0.394603175,0.601952381,0.317333333,0.391460317,0.560015873,0.297761905,0.384444444,0.477285714,0.282730159,0.367714286,0.466746032,0.281333333,0.350920635,0.473809524,0.280047619,0.33931746,0.442333333,0.25384127,0.324825397,0.368253968
